Name,NACA 2411 Airfoil M=2.0% P=40.0% T=11.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.007700,0.115200
99.854800,0.145300
99.397200,0.234800
98.637500,0.382100
97.580000,0.584500
96.231000,0.838300
94.598300,1.139000
92.691700,1.481300
90.522200,1.859400
88.102900,2.267200
85.448100,2.698000
82.573700,3.145200
79.497100,3.602000
76.236800,4.061600
72.812600,4.517100
69.245300,4.962000
65.556900,5.389400
61.769900,5.792900
57.907700,6.166100
53.994300,6.502800
50.053900,6.797000
46.111200,7.043100
42.191000,7.235900
38.305300,7.369000
34.474700,7.423400
30.740300,7.394300
27.126400,7.281700
23.656900,7.087300
20.354600,6.814300
17.241200,6.467400
14.336800,6.052600
11.660400,5.577300
9.228700,5.049900
7.057100,4.479300
5.158900,3.874700
3.545200,3.245500
2.225300,2.600400
1.206600,1.947300
0.494300,1.292900
0.091600,0.642600
0.000000,0.000000
0.216600,-0.611900
0.736900,-1.170800
1.556400,-1.675800
2.669000,-2.125900
4.066900,-2.520500
5.740500,-2.859100
7.678800,-3.141400
9.869600,-3.368000
12.299000,-3.540200
14.952500,-3.659800
17.814000,-3.729900
20.866900,-3.754200
24.093300,-3.737400
27.474600,-3.684900
30.991400,-3.602800
34.623600,-3.497600
38.350200,-3.376000
42.165600,-3.241200
46.042900,-3.084100
49.946100,-2.908100
53.851600,-2.718200
57.735700,-2.519000
61.574600,-2.314800
65.344800,-2.109100
69.023000,-1.905100
72.586500,-1.705200
76.013100,-1.511600
79.281400,-1.325900
82.371100,-1.149500
85.262600,-0.983700
87.937700,-0.829300
90.379500,-0.687500
92.572300,-0.559200
94.502300,-0.445400
96.157000,-0.346900
97.525700,-0.264900
98.599500,-0.200000
99.371600,-0.153100
99.836900,-0.124700
99.992300,-0.115200
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.091600,0.321300
0.494300,0.191349
1.206600,0.243529
2.225300,0.326999
3.545200,0.436133
5.158900,0.566634
7.057100,0.714223
9.228700,0.874095
11.660400,1.041183
14.336800,1.210276
17.241200,1.375766
20.354600,1.532089
23.656900,1.673814
27.126400,1.795697
30.740300,1.892819
34.474700,1.960744
38.305300,1.995767
42.191000,1.997865
46.111200,1.981040
50.053900,1.947071
53.994300,1.895959
57.907700,1.828125
61.769900,1.744378
65.556900,1.646032
69.245300,1.534685
72.812600,1.412337
76.236800,1.281355
79.497100,1.144207
82.573700,1.003659
85.448100,0.862503
88.102900,0.723747
90.522200,0.590125
92.691700,0.464570
94.598300,0.349657
96.231000,0.247917
97.580000,0.161441
98.637500,0.092204
99.397200,0.041631
99.854800,0.010847
100.007700,0.057600
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
