Name,NACA 2415 Airfoil M=2.0% P=40.0% T=15.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.010500,0.157200
99.858100,0.194400
99.401900,0.305300
98.644300,0.487900
97.589900,0.738900
96.244400,1.053800
94.615800,1.427100
92.713400,1.852300
90.548200,2.322500
88.132900,2.830200
85.481800,3.367400
82.610600,3.926100
79.536300,4.498000
76.277500,5.074900
72.853700,5.648500
69.285700,6.210500
65.595400,6.752800
61.805400,7.267100
57.939000,7.745300
54.020200,8.179400
50.073500,8.561600
46.123700,8.884400
42.195600,9.140900
38.297100,9.322600
34.447700,9.409000
30.694600,9.393700
27.063100,9.275700
23.577500,9.055500
20.261400,8.735900
17.137000,8.321400
14.224900,7.818500
11.544200,7.235100
9.112200,6.580400
6.944100,5.864900
5.053100,5.099100
3.450300,4.293900
2.144600,3.459700
1.143000,2.606000
0.450200,1.740900
0.068900,0.870700
0.000000,0.000000
0.239300,-0.840000
0.781000,-1.618700
1.620000,-2.334500
2.749700,-2.985300
4.161800,-3.568900
5.846200,-4.083400
7.791900,-4.527000
9.986100,-4.898600
12.415200,-5.197900
15.064400,-5.425700
17.918200,-5.583900
20.960000,-5.675700
24.172600,-5.705500
27.537900,-5.678800
31.037000,-5.602300
34.650600,-5.483300
38.358400,-5.329600
42.161000,-5.146100
46.030400,-4.925400
49.926500,-4.672700
53.825700,-4.394700
57.704500,-4.098200
61.539200,-3.788900
65.306300,-3.472500
68.982600,-3.153600
72.545400,-2.836500
75.972400,-2.524900
79.242200,-2.221900
82.334200,-1.930400
85.228800,-1.653100
87.907700,-1.392300
90.353500,-1.150600
92.550600,-0.930200
94.484900,-0.733400
96.143500,-0.562400
97.515800,-0.419300
98.592600,-0.305900
99.367000,-0.223700
99.833600,-0.173800
99.989500,-0.157200
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.068900,0.435350
0.450200,0.298864
1.143000,0.339228
2.144600,0.411494
3.450300,0.509526
5.053100,0.628976
6.944100,0.765595
9.112200,0.914900
11.544200,1.072260
14.224900,1.232494
17.137000,1.390403
20.261400,1.540642
23.577500,1.677760
27.063100,1.796566
30.694600,1.891957
34.447700,1.959509
38.297100,1.995229
42.195600,1.998387
46.123700,1.982526
50.073500,1.949690
54.020200,1.899784
57.939000,1.833007
61.805400,1.750279
65.595400,1.652689
69.285700,1.541938
72.853700,1.420016
76.277500,1.289136
79.536300,1.151913
82.610600,1.011089
85.481800,0.869465
88.132900,0.730077
90.548200,0.595716
92.713400,0.469332
94.615800,0.353598
96.244400,0.250961
97.589900,0.163702
98.644300,0.093744
99.401900,0.042666
99.858100,0.011604
100.010500,0.078600
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
