Name,NACA 2408 Airfoil M=2.0% P=40.0% T=8.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.005600,0.083800
99.852400,0.108400
99.393700,0.181900
98.632300,0.302700
97.572600,0.468700
96.220900,0.676700
94.585200,0.922900
92.675400,1.203000
90.502800,1.512100
88.080400,1.844900
85.422800,2.195900
82.546100,2.559600
79.467700,2.930000
76.206300,3.301600
72.781700,3.668600
69.215000,4.025500
65.528000,4.366900
61.743300,4.687300
57.884300,4.981800
53.974800,5.245400
50.039200,5.473600
46.101900,5.662100
42.187500,5.807200
38.311400,5.903800
34.495000,5.934100
30.774500,5.894700
27.173900,5.786300
23.716400,5.611200
20.424500,5.373200
17.319300,5.076800
14.420800,4.728200
11.747500,4.334000
9.316100,3.902000
7.141900,3.440100
5.238200,2.956500
3.616300,2.459200
2.285800,1.955900
1.254300,1.453200
0.527400,0.957000
0.108700,0.471600
0.000000,0.000000
0.199600,-0.440800
0.703800,-0.834800
1.508700,-1.181700
2.608500,-1.481400
3.995700,-1.734300
5.661200,-1.940800
7.594100,-2.102200
9.782200,-2.220100
12.212000,-2.296900
14.868500,-2.335400
17.735900,-2.339400
20.797000,-2.313000
24.033800,-2.261300
27.427100,-2.189500
30.957100,-2.103200
34.603300,-2.008400
38.344100,-1.910800
42.169100,-1.812500
46.052200,-1.703100
49.960800,-1.584700
53.871100,-1.460800
57.759200,-1.334700
61.601300,-1.209200
65.373700,-1.086600
69.053300,-0.968700
72.617300,-0.856700
76.043600,-0.751600
79.310800,-0.653900
82.398700,-0.563900
85.287900,-0.481600
87.960200,-0.407100
90.398900,-0.340200
92.588600,-0.281000
94.515400,-0.229300
96.167100,-0.185300
97.533100,-0.149000
98.604700,-0.120600
99.375100,-0.100200
99.839300,-0.087900
99.994400,-0.083800
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.108700,0.235800
0.527400,0.130023
1.254300,0.190571
2.285800,0.281219
3.616300,0.397034
5.238200,0.534073
7.141900,0.687830
9.316100,0.853507
11.747500,1.025891
14.420800,1.199644
17.319300,1.368991
20.424500,1.528494
23.716400,1.672415
27.173900,1.795721
30.774500,1.893518
34.495000,1.961442
38.311400,1.996073
42.187500,1.997609
46.101900,1.980253
50.039200,1.945692
53.974800,1.893982
57.884300,1.825593
61.743300,1.741357
65.528000,1.642622
69.215000,1.530941
72.781700,1.408471
76.206300,1.277433
79.467700,1.140337
82.546100,0.999949
85.422800,0.859030
88.080400,0.720549
90.502800,0.587355
92.675400,0.462165
94.585200,0.347730
96.220900,0.246415
97.572600,0.160373
98.632300,0.091415
99.393700,0.041096
99.852400,0.010423
100.005600,0.041900
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
