Name,NACA 2413 Airfoil M=2.0% P=40.0% T=13.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.009100,0.136200
99.856500,0.169800
99.399500,0.270000
98.640900,0.435000
97.584900,0.661700
96.237700,0.946100
94.607100,1.283000
92.702500,1.666800
90.535200,2.091000
88.117900,2.548700
85.465000,3.032700
82.592200,3.535600
79.516700,4.050000
76.257100,4.568200
72.833100,5.082800
69.265500,5.586200
65.576200,6.071100
61.787600,6.530000
57.923300,6.955700
54.007200,7.341100
50.063700,7.679300
46.117500,7.963700
42.193300,8.188400
38.301200,8.345800
34.461200,8.416200
30.717400,8.394000
27.094700,8.278700
23.617200,8.071400
20.308000,7.775100
17.189100,7.394400
14.280900,6.935500
11.602300,6.406200
9.170500,5.815200
7.000600,5.172100
5.106000,4.486900
3.497700,3.769700
2.185000,3.030100
1.174800,2.276600
0.472200,1.516900
0.080300,0.756700
0.000000,0.000000
0.228000,-0.725900
0.758900,-1.394700
1.588200,-2.005100
2.709400,-2.555600
4.114300,-3.044700
5.793400,-3.471200
7.735400,-3.834200
9.927800,-4.133300
12.357100,-4.369000
15.008500,-4.542800
17.866100,-4.656900
20.913500,-4.715000
24.132900,-4.721400
27.506200,-4.681900
31.014200,-4.602600
34.637100,-4.490500
38.354300,-4.352800
42.163300,-4.193700
46.036600,-4.004800
49.936300,-3.790400
53.838700,-3.556500
57.720100,-3.308600
61.556900,-3.051900
65.325500,-2.790800
69.002800,-2.529300
72.565900,-2.270900
75.992700,-2.018200
79.261800,-1.773900
82.352600,-1.540000
85.245700,-1.318400
87.922700,-1.110800
90.366500,-0.919100
92.561500,-0.744700
94.493600,-0.589400
96.150200,-0.454700
97.520700,-0.342100
98.596100,-0.252900
99.369300,-0.188400
99.835300,-0.149300
99.990900,-0.136200
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.080300,0.378350
0.472200,0.241685
1.174800,0.287890
2.185000,0.365988
3.497700,0.469831
5.106000,0.595152
7.000600,0.737625
9.170500,0.892608
11.602300,1.055217
14.280900,1.220197
17.189100,1.382266
20.308000,1.535822
23.617200,1.675513
27.094700,1.795991
30.717400,1.892345
34.461200,1.960129
38.301200,1.995516
42.193300,1.998082
46.117500,1.981674
50.063700,1.948268
54.007200,1.897681
57.923300,1.830348
61.787600,1.747042
65.576200,1.649064
69.265500,1.537976
72.833100,1.415802
76.257100,1.284879
79.516700,1.147695
82.592200,1.006976
85.465000,0.865653
88.117900,0.726606
90.535200,0.592652
92.702500,0.466717
94.607100,0.351414
96.237700,0.249294
97.584900,0.162463
98.640900,0.092919
99.399500,0.042067
99.856500,0.011142
100.009100,0.068100
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
